Joueur;Joueur1;Joueur2;
Type;positional;positional;
Points;20;44;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;positional;absolute;
Points;20;43;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;positional;mobility;
Points;17;47;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;positional;mixt;
Points;20;44;
Gagnant;0;1;

------;

Joueur;Joueur1;Joueur2;
Type;absolute;positional;
Points;40;22;
Gagnant;1;0;

Joueur;Joueur1;Joueur2;
Type;absolute;absolute;
Points;34;29;
Gagnant;1;0;

Joueur;Joueur1;Joueur2;
Type;absolute;mobility;
Points;28;36;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;absolute;mixt;
Points;33;31;
Gagnant;1;0;

------;

Joueur;Joueur1;Joueur2;
Type;mobility;positional;
Points;18;39;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;mobility;absolute;
Points;36;28;
Gagnant;1;0;

Joueur;Joueur1;Joueur2;
Type;mobility;mobility;
Points;26;38;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;mobility;mixt;
Points;13;51;
Gagnant;0;1;

------;

Joueur;Joueur1;Joueur2;
Type;mixt;positional;
Points;45;18;
Gagnant;1;0;

Joueur;Joueur1;Joueur2;
Type;mixt;absolute;
Points;21;43;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;mixt;mobility;
Points;29;29;
Gagnant;0;1;

Joueur;Joueur1;Joueur2;
Type;mixt;mixt;
Points;20;44;
Gagnant;0;1;

------;

